Name,Location,City,Phone,Website,Products & Services
Ahalia Hospital,"Opp Liwa Centre, Hamdan St",Abu Dhabi,+97126262666,,"Hospitals, SUNJET Optical Goods and Accessories, T-FORCE Optical Goods and Accessories"
Ajman Khalifa Hospital,"Near Ajman College, Al Jarf",Ajman,+97167433311,,Hospitals
Al Ain Hospital (Al Jimi),"Near Al Ain University, Al Jimi Rd",Al Ain,+97137635888,,Hospitals
Al Corniche Hospital,"Bhnd Sheraton Hotel, Corniche Rd",Abu Dhabi,+97126724900,,"Hospitals, Hepatology Doctors"
Al Garhoud Neurology Clinic,Garhoud,Dubai,+97144553250,,Hospitals
Al Garhoud Private Hospital,Garhoud,Dubai,+97144545000,,Hospitals
Al Hyatt Hospital,"1st Flr, Al Falaha Bldg, Khalifa St",Al Ain,+97137660999,,Hospitals
Al Khaleej Specialized Hospital,"Near Carrefour, Al Jimi Area",Al Ain,+97137656818,,Hospitals
Al Noor Hospital,"Bhnd Lulu Centre, Khalifa St",Abu Dhabi,+97126265265,,"Hospitals, General Clinics"
Al Qasimia Hospital,"Near Cricket Stadium, Al Wasit St",Sharjah,+97165386444,,Hospitals
Al Raha Hospital,,Abu Dhabi,+97126330440,,Hospitals
Al Reef International Hospital,"Emirates Gen Market Bldg, Electra St",Abu Dhabi,+97126328000,,Hospitals
Al Salama Hospital,"Opp Smokers Centre, Hamdan St, TCA",Abu Dhabi,+97126711220,,Hospitals
Al Sharq Hospital,,Fujairah,+97192249999,,Hospitals
Al Zahra Pvt Hospital,Al Zahra Square,Sharjah,+97165619999,,"Hospitals, Clinics, Clinic Consultants"
Al Zahra Pvt Medical Centre,"Near to Mashreq Metro Station, Al Barsha",Dubai,+97143315000,,"Hospitals, Dental Clinics, General Clinics"
Al Zahrawi Hospital,"Opp Choithram S/Market, Al Nakheel Rd",Ras Al Khaimah,+97172288544,,Hospitals
American European Medical Centre,"1st Floor, Delma Interior Bldg, Airport Rd",Abu Dhabi,+97124455477,,"Hospitals, Multispecialty Clinics, Specialized Clinic"
American Hospital Dubai,"Near Al Nasr Leisureland, Opp Movenpick Hotel, Bur Dubai",Dubai,+97143367777,,"Hospitals, General Clinics, General Doctors"
Amrita Medical Center,"Near British Council, Al Nasr St, Khalidiya",Abu Dhabi,+97126661555,,"Hospitals, Dental Doctors"
Axon Medical Polyclinic,"Union Co-operative Building, Street 33A, Rashidiya Central Market",Dubai,+97144599904,,Hospitals
Belhoul European Hospital LLC,Deira - Dubai - United Arab Emirates,Dubai,+97143454000,,"Hospitals, Corporate Health Packages Clinics, Cardiologists Doctors"
Belhoul Speciality Hospital LLC,"Al Khaleej Rd, Al Baraha, Deira",Dubai,+97142733333,,"Hospitals, Corporate Health Packages Clinics, Cardiologists Doctors"
Bestdoc Home Healthcare LLC,Al Qouz Industrial Area 4,Dubai,,,"Hospitals, General Clinics, General Doctors"
Bumrungrad International Hospital,Deira,Dubai,+97142566665,,Hospitals
Canadian Specialist Hospital,"Abu Hail, Deira",Dubai,+97147072222,,Hospitals
Dar Al Shifaa Hospital,"Behind ADAR, Najda Road",Abu Dhabi,+97126900900,,Hospitals
Delma Island Hospital,Delma Island,Abu Dhabi,+97128781888,,Hospitals
Dibba Fujairah New Hospital,"Opposite Rabee Co, Sh Rashid Street, Masafi-Dibba Road",Fujairah,+97192446666,,Hospitals
Emirates Hospital,"Opp Jumeirah Beach Park, Jumeirah Beach Rd",Dubai,+97143496666,,Hospitals
Emirates International Hospital,"Near Jimi Hospital, Al Khabisi",Al Ain,+97137637777,,Hospitals
First Response Healthcare LLC,"Office 810, 32C Building, Yes Business Centre, Al Barsha 1",Dubai,+97145836887,,Hospitals
General Medical Centre,"2nd Floor, Hypermarket Bldg, Najda St",Abu Dhabi,+97126330440,,Hospitals
Global Hawk Telemedicine FZC,,Dubai,+97142364477,,Hospitals
Good Living Medical Centre,"M 12-13, Block B, Opp Union Flag, Shk Hamdan Awards Complex, Jumeirah",Dubai,+97143546060,,"Hospitals, Acupuncture Clinics, Cardiologists Doctors"
Grace Medical Center,"Villa 408, Near Japanese Embassy, 26th St, Al Roda, Khalidiya",Abu Dhabi,+97124430909,,"Hospitals, Dental Clinics"
Great Ormond Street Hospital,,Dubai,+97143624722,,Hospitals
Gulf Diagnostic Center,"Al Khaleej Al Arbi St, Corniche",Abu Dhabi,+97126658090,,Hospitals
Gulf International Cancer Center,"Near Yas Island, Al Bahia",Abu Dhabi,+97125635558,,"Hospitals, Hospitals Clinics And Doctors, Health Clubs and Centres"
Gulf Medical Centre,"Near Dnata, Opp Nissan S/R, Al Ittihad Rd, Deira",Dubai,+97142626000,,"Hospitals, Dental Clinics, General Clinics"
Hopital Franco - Emirien,"Al Nahda Tower, Near Abu Dhabi Investment Authority, Corniche Rd",Abu Dhabi,+97126265722,,Hospitals
International Modern Hospital,"Port Rashid Rd, Bur Dubai",Dubai,+97143988888,,Hospitals
Iranian Hospital,"Al Wasl Rd, Satwa",Dubai,+97143440250,,"Hospitals, Clinics General, General Clinics"
Jebel Ali Hospital,Jebel Ali Village,Jebel Ali,+97148845666,,Hospitals
